Days to Ship,Sales Forecast,Ship Status,Category,City,Country,Customer Name,Order Date,Order ID,Product Name,Profit,Quantity,Region,Sales,Segment,Ship Mode,State,Sub-Category
7,20,Shipped Late,Office Supplies,New York City,United States,Jennifer Ferguson,12/28/17,CA-2017-164826,OIC Bulk Pack Metal Binder Clips,6.4216,4,East,13.96,Consumer,Standard Class,New York,Fasteners
7,21,Shipped Late,Technology,New York City,United States,Jennifer Ferguson,12/28/17,CA-2017-164826,Cush Cases Heavy Duty Rugged Cover Case for Samsung Galaxy S5 - Purple,4.0095,3,East,14.85,Consumer,Standard Class,New York,Phones
5,10,Shipped Early,Furniture,Seattle,United States,Harry Marie,12/28/17,CA-2017-129805,3M Hangers With Command Adhesive,3.034,2,West,7.4,Corporate,Standard Class,Washington,Furnishings
5,3,Shipped Early,Office Supplies,Fargo,United States,Christopher Schild,12/28/17,CA-2017-135111,Staples in misc. colors,0.868,1,Central,2.48,Home Office,Standard Class,North Dakota,Art
5,36,Shipped Early,Office Supplies,Fargo,United States,Christopher Schild,12/28/17,CA-2017-135111,Wilson Jones Impact Binders,12.691,5,Central,25.9,Home Office,Standard Class,North Dakota,Binders
4,166,Shipped Early,Office Supplies,Albuquerque,United States,Susan Vittorini,12/28/17,CA-2017-122798,Eldon Mobile Mega Data Cart  Mega Stackable  Add-On Trays,34.2925,5,West,118.25,Consumer,Standard Class,New Mexico,Storage
4,6,Shipped Early,Office Supplies,Albuquerque,United States,Susan Vittorini,12/28/17,CA-2017-122798,Xerox 1953,1.926,1,West,4.28,Consumer,Standard Class,New Mexico,Paper
7,47,Shipped Late,Office Supplies,New York City,United States,Jennifer Ferguson,12/28/17,CA-2017-164826,Storex Dura Pro Binders,11.2266,7,East,33.264,Consumer,Standard Class,New York,Binders
4,38,Shipped Early,Office Supplies,Round Rock,United States,Greg Hansen,12/28/17,CA-2017-136539,Stanley Bostitch Contemporary Electric Pencil Sharpeners,2.7168,2,Central,27.168,Consumer,Standard Class,Texas,Art
6,91,Shipped On Time,Office Supplies,Nashville,United States,Erica Hernandez,12/28/17,CA-2017-127516,Carina Double Wide Media Storage Towers in Natural & Black,-12.9568,1,South,64.784,Home Office,Standard Class,Tennessee,Storage
3,478,Shipped Late,Furniture,Long Beach,United States,Jason Gross,12/28/17,CA-2017-101322,Novimex Turbo Task Chair,-34.0704,6,West,340.704,Corporate,First Class,California,Chairs
4,159,Shipped Early,Furniture,Peoria,United States,Lori Olson,12/28/17,CA-2017-163860,"Padded Folding Chairs, Black, 4/Carton",-3.2392,2,Central,113.372,Corporate,Standard Class,Illinois,Chairs
4,111,Shipped Early,Furniture,Round Rock,United States,Greg Hansen,12/28/17,CA-2017-136539,"Bush Westfield Collection Bookcases, Medium Cherry Finish",-11.596,2,Central,78.8528,Consumer,Standard Class,Texas,Bookcases
4,11,Shipped Early,Furniture,Peoria,United States,Lori Olson,12/28/17,CA-2017-163860,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,-2.3904,3,Central,7.968,Corporate,Standard Class,Illinois,Furnishings
4,4,Shipped Early,Furniture,Peoria,United States,Lori Olson,12/28/17,CA-2017-163860,3M Hangers With Command Adhesive,-1.406,2,Central,2.96,Corporate,Standard Class,Illinois,Furnishings
3,2,Shipped On Time,Office Supplies,Loveland,United States,Pamela Coakley,12/28/17,US-2017-162068,Avery Reinforcements for Hole-Punch Pages,-0.99,2,West,1.188,Corporate,Second Class,Colorado,Binders
4,2,Shipped Early,Office Supplies,Peoria,United States,Lori Olson,12/28/17,CA-2017-163860,Computer Printout Index Tabs,-2.688,5,Central,1.68,Corporate,Standard Class,Illinois,Binders
0,19,Shipped On Time,Office Supplies,Newark,United States,Dan Reichenbach,12/27/17,CA-2017-134404,BIC Brite Liner Highlighters,3.6432,4,East,13.248,Corporate,Same Day,Ohio,Art
0,230,Shipped On Time,Technology,Newark,United States,Dan Reichenbach,12/27/17,CA-2017-134404,AT&T 1080 Corded phone,-35.6174,2,East,164.388,Corporate,Same Day,Ohio,Phones
6,63,Shipped On Time,Office Supplies,Burlington,United States,Patrick O'Brill,12/26/17,US-2017-106705,"Recycled Desk Saver Line ""While You Were Out"" Book, 5 1/2"" X 4""",20.585,5,Central,44.75,Consumer,Standard Class,Iowa,Paper
0,1052,Shipped On Time,Office Supplies,Fremont,United States,Yoseph Carroll,12/26/17,CA-2017-121741,Tennsco Single-Tier Lockers,37.534,2,Central,750.68,Corporate,Same Day,Nebraska,Storage
6,22,Shipped On Time,Office Supplies,Odessa,United States,Karen Bern,12/26/17,CA-2017-136238,Xerox 1959,5.6112,3,Central,16.032,Corporate,Standard Class,Texas,Paper
4,4,Shipped Early,Office Supplies,Columbus,United States,Tracy Collins,12/26/17,CA-2017-112487,Acco Economy Flexible Poly Round Ring Binder,-2.61,2,East,3.132,Home Office,Standard Class,Ohio,Binders
5,59,Shipped Early,Furniture,New York City,United States,Cynthia Voltz,12/25/17,CA-2017-146780,Magnifier Swing Arm Lamp,10.9096,2,East,41.96,Corporate,Standard Class,New York,Furnishings
3,134,Shipped On Time,Office Supplies,Louisville,United States,Joni Wasserman,12/25/17,CA-2017-163510,Fellowes Bankers Box Stor/Drawer Steel Plus,9.594,3,South,95.94,Consumer,Second Class,Kentucky,Storage
3,427,Shipped On Time,Furniture,Louisville,United States,Joni Wasserman,12/25/17,CA-2017-163510,"Global Value Mid-Back Manager's Chair, Gray",76.1125,5,South,304.45,Consumer,Second Class,Kentucky,Chairs
4,135,Shipped Late,Office Supplies,Huntsville,United States,Mick Hernandez,12/25/17,CA-2017-114055,14-7/8 x 11 Blue Bar Computer Printout Paper,46.1184,2,South,96.08,Home Office,Second Class,Alabama,Paper
4,5,Shipped Late,Office Supplies,Huntsville,United States,Mick Hernandez,12/25/17,CA-2017-114055,Assorted Color Push Pins,1.1946,2,South,3.62,Home Office,Second Class,Alabama,Fasteners
4,882,Shipped Late,Office Supplies,Huntsville,United States,Mick Hernandez,12/25/17,CA-2017-114055,Xerox 1915,301.968,6,South,629.1,Home Office,Second Class,Alabama,Paper
4,127,Shipped Late,Technology,Huntsville,United States,Mick Hernandez,12/25/17,CA-2017-114055,AT&T 17929 Lendline Telephone,23.5248,2,South,90.48,Home Office,Second Class,Alabama,Phones
4,379,Shipped Early,Office Supplies,Los Angeles,United States,Fred Hopkins,12/25/17,CA-2017-121398,"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand",2.7062,2,West,270.62,Corporate,Standard Class,California,Storage
4,45,Shipped Early,Technology,East Orange,United States,Patrick O'Donnell,12/25/17,CA-2017-108756,Memorex Micro Travel Drive 4 GB,13.674,3,East,31.8,Consumer,Standard Class,New Jersey,Accessories
4,269,Shipped Early,Furniture,New York City,United States,Ralph Arnett,12/25/17,CA-2017-161480,"Bush Andora Bookcase, Maple/Graphite Gray Finish",4.7996,2,East,191.984,Consumer,Standard Class,New York,Bookcases
5,223,Shipped Early,Technology,Fairfield,United States,Susan Vittorini,12/25/17,US-2017-147669,Maxell 4.7GB DVD-R,41.7186,7,East,158.928,Consumer,Standard Class,Ohio,Accessories
5,55,Shipped Early,Office Supplies,Fairfield,United States,Susan Vittorini,12/25/17,US-2017-147669,Staples,12.7764,13,East,39.312,Consumer,Standard Class,Ohio,Fasteners
4,215,Shipped Early,Office Supplies,Los Angeles,United States,Fred Hopkins,12/25/17,CA-2017-121398,GBC DocuBind P50 Personal Binding Machine,51.8238,3,West,153.552,Corporate,Standard Class,California,Binders
4,5,Shipped Early,Office Supplies,Everett,United States,Giulietta Dortch,12/25/17,CA-2017-162880,Tuff Stuff Recycled Round Ring Binders,1.3978,1,West,3.856,Corporate,Standard Class,Washington,Binders
7,63,Shipped Late,Office Supplies,Dallas,United States,Guy Armstrong,12/25/17,CA-2017-134194,Staple remover,5.0274,7,Central,44.688,Consumer,Standard Class,Texas,Supplies
7,44,Shipped Late,Office Supplies,Dallas,United States,Guy Armstrong,12/25/17,CA-2017-134194,Newell 34,2.3808,2,Central,31.744,Consumer,Standard Class,Texas,Art
3,29,Shipped Late,Furniture,Hialeah,United States,Jennifer Halladay,12/25/17,CA-2017-105620,"Eldon 400 Class Desk Accessories, Black Carbon",5.775,3,South,21,Consumer,First Class,Florida,Furnishings
5,383,Shipped Early,Furniture,Fairfield,United States,Susan Vittorini,12/25/17,US-2017-147669,Hon Rectangular Conference Tables,-104.673,2,East,273.06,Consumer,Standard Class,Ohio,Tables
3,168,Shipped Late,Technology,Hialeah,United States,Jennifer Halladay,12/25/17,CA-2017-105620,Lexmark 20R1285 X6650 Wireless All-in-One Printer,-7.2,2,South,120,Consumer,First Class,Florida,Machines
5,18,Shipped Early,Office Supplies,Fairfield,United States,Susan Vittorini,12/25/17,US-2017-147669,Satellite Sectional Post Binders,-10.4184,1,East,13.023,Consumer,Standard Class,Ohio,Binders
7,55,Shipped Late,Office Supplies,Dallas,United States,Guy Armstrong,12/25/17,CA-2017-134194,Wilson Jones Legal Size Ring Binders,-59.373,9,Central,39.582,Consumer,Standard Class,Texas,Binders
7,57,Shipped Late,Office Supplies,Dallas,United States,Guy Armstrong,12/25/17,CA-2017-134194,"Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue",-65.568,5,Central,40.98,Consumer,Standard Class,Texas,Binders
7,4,Shipped Late,Office Supplies,Dallas,United States,Guy Armstrong,12/25/17,CA-2017-134194,"Wilson Jones 1"" Hanging DublLock Ring Binders",-5.0688,3,Central,3.168,Consumer,Standard Class,Texas,Binders
5,50,Shipped Early,Office Supplies,New York City,United States,Roy Franz_sisch,12/24/17,CA-2017-117933,Staple holder,9.6957,3,East,35.91,Consumer,Standard Class,New York,Appliances
7,1407,Shipped Late,Office Supplies,Seattle,United States,Alan Hwang,12/24/17,CA-2017-147956,Office Impressions Heavy Duty Welded Shelving & Multimedia Storage Drawers,0,6,West,1003.62,Consumer,Standard Class,Washington,Storage
5,53,Shipped Early,Furniture,Rochester,United States,Ann Chong,12/24/17,CA-2017-169411,"Eldon Delta Triangular Chair Mat, 52"" x 58"", Clear",6.8274,1,East,37.93,Corporate,Standard Class,New York,Furnishings
4,673,Shipped Early,Technology,Lafayette,United States,Christine Sundaresam,12/24/17,CA-2017-124296,DYMO CardScan Personal V9 Business Card Scanner,239.985,3,South,479.97,Consumer,Standard Class,Louisiana,Machines
4,326,Shipped Early,Furniture,Lafayette,United States,Christine Sundaresam,12/24/17,CA-2017-124296,"Iceberg Nesting Folding Chair, 19w x 6d x 43h",60.5488,4,South,232.88,Consumer,Standard Class,Louisiana,Chairs
4,27,Shipped Early,Office Supplies,New Bedford,United States,Nick Crebassa,12/24/17,CA-2017-148355,Xerox 214,9.3312,3,East,19.44,Corporate,Standard Class,Massachusetts,Paper
4,17,Shipped Early,Office Supplies,New Bedford,United States,Nick Crebassa,12/24/17,CA-2017-148355,"Avery Triangle Shaped Sheet Lifters, Black, 2/Pack",6.15,5,East,12.3,Corporate,Standard Class,Massachusetts,Binders
4,381,Shipped Early,Furniture,Oceanside,United States,Hunter Glantz,12/24/17,CA-2017-169978,DMI Arturo Collection Mission-style Design Wood Chair,48.3136,2,East,271.764,Consumer,Standard Class,New York,Chairs
5,25,Shipped Early,Office Supplies,New York City,United States,Andy Reiter,12/24/17,CA-2017-154935,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",5.5875,3,East,17.88,Consumer,Standard Class,New York,Binders
4,20,Shipped Early,Office Supplies,Oceanside,United States,Hunter Glantz,12/24/17,CA-2017-169978,"DXL Angle-View Binders with Locking Rings, Black",4.8519,3,East,14.376,Consumer,Standard Class,New York,Binders
1,4037,Shipped On Time,Technology,Los Angeles,United States,Robert Marley,12/24/17,CA-2017-145219,Hewlett Packard LaserJet 3310 Copier,1007.9832,6,West,2879.952,Home Office,First Class,California,Copiers
1,127,Shipped On Time,Office Supplies,Los Angeles,United States,Robert Marley,12/24/17,CA-2017-145219,Vinyl Sectional Post Binders,33.93,3,West,90.48,Home Office,First Class,California,Binders
7,12,Shipped Late,Furniture,Chandler,United States,James Lanier,12/24/17,CA-2017-128734,Acrylic Self-Standing Desk Frames,1.9224,4,West,8.544,Home Office,Standard Class,Arizona,Furnishings
7,1181,Shipped Late,Furniture,Chandler,United States,James Lanier,12/24/17,CA-2017-128734,Global Leather Executive Chair,105.297,3,West,842.376,Home Office,Standard Class,Arizona,Chairs
3,370,Shipped Late,Office Supplies,Dallas,United States,Neola Schneider,12/24/17,CA-2017-121195,Economy Rollaway Files,19.824,2,Central,264.32,Consumer,First Class,Texas,Storage
6,30,Shipped On Time,Office Supplies,Meridian,United States,Dave Poirier,12/24/17,CA-2017-163671,GBC Instant Index System for Binding Systems,7.992,3,West,21.312,Corporate,Standard Class,Idaho,Binders
0,19,Shipped On Time,Office Supplies,San Francisco,United States,Gary Zandusky,12/23/17,US-2017-123463,"Binney & Smith Crayola Metallic Crayons, 16-Color Pack",5.9312,4,West,13.48,Consumer,Same Day,California,Art
4,255,Shipped Early,Furniture,Middletown,United States,Filia McAdams,12/23/17,CA-2017-127929,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",38.2095,3,East,181.95,Corporate,Standard Class,Connecticut,Furnishings
5,87,Shipped Late,Office Supplies,Little Rock,United States,Monica Federle,12/23/17,US-2017-162670,"Personal Filing Tote with Lid, Black/Gray",17.3712,4,South,62.04,Corporate,Second Class,Arkansas,Storage
5,694,Shipped Late,Technology,Little Rock,United States,Monica Federle,12/23/17,US-2017-162670,"Ativa D5772 2-Line 5.8GHz Digital Expandable Corded/Cordless Phone System with Answering & Caller ID/Call Waiting, Black/Silver",148.491,3,South,494.97,Corporate,Second Class,Arkansas,Phones
5,516,Shipped Late,Office Supplies,Little Rock,United States,Monica Federle,12/23/17,US-2017-162670,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",14.7184,4,South,367.96,Corporate,Second Class,Arkansas,Storage
5,63,Shipped Late,Office Supplies,Little Rock,United States,Monica Federle,12/23/17,US-2017-162670,"Ink Jet Note and Greeting Cards, 8-1/2"" x 5-1/2"" Card Size",20.6816,2,South,44.96,Corporate,Second Class,Arkansas,Paper
5,256,Shipped Late,Office Supplies,Little Rock,United States,Monica Federle,12/23/17,US-2017-162670,"Tyvek Interoffice Envelopes, 9 1/2"" x 12 1/2"", 100/Box",85.9818,3,South,182.94,Corporate,Second Class,Arkansas,Envelopes
7,38,Shipped Late,Furniture,Danbury,United States,Julia Barnett,12/23/17,CA-2017-110625,DAX Wood Document Frame,9.8856,2,East,27.46,Home Office,Standard Class,Connecticut,Furnishings
2,40,Shipped Early,Office Supplies,College Station,United States,Michael Moore,12/23/17,CA-2017-121216,Spiral Phone Message Books with Labels by Adams,10.3936,8,Central,28.672,Consumer,Second Class,Texas,Paper
4,102,Shipped Early,Furniture,Hendersonville,United States,Darren Koutras,12/23/17,CA-2017-140627,"Executive Impressions 14"" Two-Color Numerals Wall Clock",19.0848,4,South,72.704,Consumer,Standard Class,Tennessee,Furnishings
4,17,Shipped Early,Office Supplies,Hendersonville,United States,Darren Koutras,12/23/17,CA-2017-140627,Pencil and Crayon Sharpener,1.0731,7,South,12.264,Consumer,Standard Class,Tennessee,Art
4,306,Shipped Early,Office Supplies,Hendersonville,United States,Darren Koutras,12/23/17,CA-2017-140627,Safco Industrial Wire Shelving System,-54.588,3,South,218.352,Consumer,Standard Class,Tennessee,Storage
2,247,Shipped Early,Office Supplies,Rockford,United States,Jennifer Braxton,12/23/17,CA-2017-117443,Xerox 1940,63.7536,4,Central,175.872,Corporate,Second Class,Illinois,Paper
2,41,Shipped Early,Office Supplies,College Station,United States,Michael Moore,12/23/17,CA-2017-121216,Acco 6 Outlet Guardian Premium Plus Surge Suppressor,-74.7456,8,Central,29.312,Consumer,Second Class,Texas,Appliances
2,19,Shipped Early,Office Supplies,Rockford,United States,Jennifer Braxton,12/23/17,CA-2017-117443,Wilson Jones International Size A4 Ring Binders,-22.144,4,Central,13.84,Corporate,Second Class,Illinois,Binders
5,1177,Shipped Early,Office Supplies,Independence,United States,Sandra Glassco,12/22/17,CA-2017-155376,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,218.2518,3,Central,839.43,Consumer,Standard Class,Missouri,Appliances
3,280,Shipped Late,Technology,Detroit,United States,Theone Pippenger,12/22/17,CA-2017-120376,Microsoft Wireless Mobile Mouse 4000,63.984,5,Central,199.95,Consumer,First Class,Michigan,Accessories
3,2224,Shipped Late,Furniture,Detroit,United States,Theone Pippenger,12/22/17,CA-2017-120376,Hon GuestStacker Chair,412.5394,7,Central,1586.69,Consumer,First Class,Michigan,Chairs
3,119,Shipped Late,Technology,Detroit,United States,Theone Pippenger,12/22/17,CA-2017-120376,LogitechæGaming G510s - Keyboard,30.5964,1,Central,84.99,Consumer,First Class,Michigan,Accessories
3,577,Shipped Late,Furniture,Detroit,United States,Theone Pippenger,12/22/17,CA-2017-120376,Bevis 44 x 96 Conference Tables,70.006,2,Central,411.8,Consumer,First Class,Michigan,Tables
4,6,Shipped Early,Office Supplies,Carlsbad,United States,Jim Mitchum,12/22/17,CA-2017-115931,Design Ebony Sketching Pencil,1.0842,3,West,4.17,Corporate,Standard Class,New Mexico,Art
4,52,Shipped Early,Office Supplies,Carlsbad,United States,Jim Mitchum,12/22/17,CA-2017-115931,Eldon Simplefile Box Office,10.4496,3,West,37.32,Corporate,Standard Class,New Mexico,Storage
4,26,Shipped Early,Office Supplies,Carlsbad,United States,Jim Mitchum,12/22/17,CA-2017-115931,Avery 517,8.6715,5,West,18.45,Corporate,Standard Class,New Mexico,Labels
5,974,Shipped Late,Office Supplies,Providence,United States,Jason Gross,12/22/17,CA-2017-119578,Premier Electric Letter Opener,34.758,6,East,695.16,Corporate,Second Class,Rhode Island,Supplies
5,310,Shipped Late,Furniture,Providence,United States,Jason Gross,12/22/17,CA-2017-119578,"Bush Cubix Collection Bookcases, Fully Assembled",50.8254,1,East,220.98,Corporate,Second Class,Rhode Island,Bookcases
4,199,Shipped Early,Furniture,Tuscaloosa,United States,Sharelle Roach,12/22/17,CA-2017-100412,"Situations Contoured Folding Chairs, 4/Set",35.49,2,South,141.96,Home Office,Standard Class,Alabama,Chairs
2,666,Shipped Late,Technology,Los Angeles,United States,Chad McGuire,12/22/17,CA-2017-149699,Kensington Expert Mouse Optical USB Trackball for PC or Mac,142.485,5,West,474.95,Consumer,First Class,California,Accessories
4,852,Shipped Early,Furniture,Rochester,United States,Charlotte Melton,12/22/17,CA-2017-146164,"Office Impressions End Table, 20-1/2""H x 24""W x 20""D",97.2032,2,Central,607.52,Consumer,Standard Class,Minnesota,Tables
4,44,Shipped Early,Office Supplies,Rochester,United States,Charlotte Melton,12/22/17,CA-2017-146164,Personal File Boxes with Fold-Down Carry Handle,7.79,2,Central,31.16,Consumer,Standard Class,Minnesota,Storage
2,11,Shipped Early,Office Supplies,Port Orange,United States,Jeremy Pistek,12/22/17,CA-2017-145310,Staple envelope,2.934,1,South,7.824,Consumer,Second Class,Florida,Envelopes
4,94,Shipped Early,Technology,Carlsbad,United States,Jim Mitchum,12/22/17,CA-2017-115931,"iKross Bluetooth Portable Keyboard + Cell Phone Stand Holder + Brush for Apple iPhone 5S 5C 5, 4S 4",6.704,4,West,67.04,Corporate,Standard Class,New Mexico,Phones
4,36,Shipped Early,Office Supplies,Houston,United States,Alex Grayson,12/22/17,CA-2017-104927,Xerox 1931,9.072,5,Central,25.92,Consumer,Standard Class,Texas,Paper
4,106,Shipped Early,Office Supplies,Houston,United States,Alex Grayson,12/22/17,CA-2017-104927,Xerox 1887,26.558,5,Central,75.88,Consumer,Standard Class,Texas,Paper
6,66,Shipped On Time,Technology,Jackson,United States,Jack Lebron,12/22/17,CA-2017-150910,Logitech ClearChat Comfort/USB Headset H390,7.6154,2,South,46.864,Consumer,Standard Class,Tennessee,Accessories
6,37,Shipped On Time,Office Supplies,Jackson,United States,Jack Lebron,12/22/17,CA-2017-150910,Crate-A-Files,1.962,3,South,26.16,Consumer,Standard Class,Tennessee,Storage
6,32,Shipped On Time,Office Supplies,Jackson,United States,Jack Lebron,12/22/17,CA-2017-150910,Newell 325,2.891,7,South,23.128,Consumer,Standard Class,Tennessee,Art
6,83,Shipped On Time,Office Supplies,Jackson,United States,Jack Lebron,12/22/17,CA-2017-150910,"Holmes Replacement Filter for HEPA Air Cleaner, Large Room",16.291,5,South,59.24,Consumer,Standard Class,Tennessee,Appliances
2,883,Shipped Late,Technology,Toledo,United States,Sally Knutson,12/22/17,CA-2017-119193,Panasonic KX-TG9541B DECT 6.0 Digital 2-Line Expandable Cordless Phone With Digital Answering System,94.4937,7,East,629.958,Consumer,First Class,Ohio,Phones
6,1310,Shipped On Time,Furniture,Jackson,United States,Jack Lebron,12/22/17,CA-2017-150910,"Bevis Round Bullnose 29"" High Table Top",-249.3216,6,South,934.956,Consumer,Standard Class,Tennessee,Tables
3,256,Shipped On Time,Furniture,Mesa,United States,Alex Grayson,12/22/17,CA-2017-142909,"Lesro Round Back Collection Coffee Table, End Table",-135.087,2,West,182.55,Consumer,Second Class,Arizona,Tables
2,2,Shipped Late,Office Supplies,Toledo,United States,Sally Knutson,12/22/17,CA-2017-119193,Angle-D Ring Binders,-1.3128,1,East,1.641,Consumer,First Class,Ohio,Binders
4,9,Shipped Early,Office Supplies,Houston,United States,Alex Grayson,12/22/17,CA-2017-104927,"Cardinal HOLDit! Binder Insert Strips,Extra Strips",-9.8115,5,Central,6.33,Consumer,Standard Class,Texas,Binders
4,9,Shipped Early,Office Supplies,Los Angeles,United States,Bradley Nguyen,12/21/17,CA-2017-163405,Newell 327,1.7901,3,West,6.63,Consumer,Standard Class,California,Art
4,8,Shipped Early,Office Supplies,Los Angeles,United States,Bradley Nguyen,12/21/17,CA-2017-163405,Newell 317,1.7052,2,West,5.88,Consumer,Standard Class,California,Art
4,1402,Shipped Early,Office Supplies,Oakland,United States,Yana Sorensen,12/21/17,CA-2017-138380,Letter Size Cart,290.0058,7,West,1000.02,Corporate,Standard Class,California,Storage
7,395,Shipped Late,Technology,Paterson,United States,Dean Braden,12/21/17,CA-2017-165841,Jabra SPEAK 410,78.9516,3,East,281.97,Consumer,Standard Class,New Jersey,Phones
7,97,Shipped Late,Office Supplies,Paterson,United States,Dean Braden,12/21/17,CA-2017-165841,"Acme Hot Forged Carbon Steel Scissors with Nickel-Plated Handles, 3 7/8"" Cut, 8""L",20.155,5,East,69.5,Consumer,Standard Class,New Jersey,Supplies
7,233,Shipped Late,Office Supplies,Paterson,United States,Dean Braden,12/21/17,CA-2017-165841,Xerox 1913,79.8912,3,East,166.44,Consumer,Standard Class,New Jersey,Paper
3,100,Shipped Late,Technology,Bowling Green,United States,Brian Derr,12/21/17,CA-2017-109589,Memorex Froggy Flash Drive 8 GB,27.69,4,South,71,Consumer,First Class,Kentucky,Accessories
6,174,Shipped On Time,Office Supplies,Costa Mesa,United States,Sanjit Engle,12/21/17,CA-2017-144827,"Fellowes Mobile File Cart, Black",33.5772,2,West,124.36,Consumer,Standard Class,California,Storage
5,33,Shipped Late,Office Supplies,Columbia,United States,Pete Kriz,12/21/17,CA-2017-107461,Ibico Presentation Index for Binding Systems,11.2236,6,South,23.88,Consumer,Second Class,South Carolina,Binders
